ENSLOCP00000000416	lcat (1 of many)	lecithin-cholesterol acyltransferase [Source:ZFIN%3BAcc:ZDB-GENE-010716-3]
ENSLOCP00000004493	kctd5a	potassium channel tetramerization domain containing 5a [Source:ZFIN%3BAcc:ZDB-GENE-030131-727]
ENSLOCP00000004510	kctd5a	potassium channel tetramerization domain containing 5a [Source:ZFIN%3BAcc:ZDB-GENE-030131-727]
ENSLOCP00000004546	pdpk1a	3-phosphoinositide dependent protein kinase 1a [Source:ZFIN%3BAcc:ZDB-GENE-061013-109]
ENSLOCP00000004531	pdpk1a	3-phosphoinositide dependent protein kinase 1a [Source:ZFIN%3BAcc:ZDB-GENE-061013-109]
ENSLOCP00000004564	unknown	unknown
ENSLOCP00000004584	unknown	unknown
ENSLOCP00000004601	unknown	unknown
ENSLOCP00000004619	cog7	component of oligomeric golgi complex 7 [Source:ZFIN%3BAcc:ZDB-GENE-061013-463]
ENSLOCP00000004645	USP31	ubiquitin specific peptidase 31 [Source:HGNC Symbol%3BAcc:HGNC:20060]
ENSLOCP00000004676	hs3st2	heparan sulfate (glucosamine) 3-O-sulfotransferase 2 [Source:ZFIN%3BAcc:ZDB-GENE-070202-7]
ENSLOCP00000004658	hs3st2	heparan sulfate (glucosamine) 3-O-sulfotransferase 2 [Source:ZFIN%3BAcc:ZDB-GENE-070202-7]
ENSLOCP00000004700	unknown	unknown
ENSLOCP00000004715	hs3st4	heparan sulfate (glucosamine) 3-O-sulfotransferase 4 [Source:ZFIN%3BAcc:ZDB-GENE-070202-8]
ENSLOCP00000004737	kdm8	lysine (K)-specific demethylase 8 [Source:ZFIN%3BAcc:ZDB-GENE-040718-411]
ENSLOCP00000004758	kdm8	lysine (K)-specific demethylase 8 [Source:ZFIN%3BAcc:ZDB-GENE-040718-411]
ENSLOCP00000004773	nsmce1	NSE1 homolog%2C SMC5-SMC6 complex component [Source:ZFIN%3BAcc:ZDB-GENE-040718-289]
ENSLOCP00000004792	unknown	unknown
ENSLOCP00000004820	unknown	unknown
ENSLOCP00000004843	GGA2	golgi associated%2C gamma adaptin ear containing%2C ARF binding protein 2 [Source:HGNC Symbol%3BAcc:HGNC:16064]
ENSLOCP00000004863	EARS2	glutamyl-tRNA synthetase 2%2C mitochondrial [Source:HGNC Symbol%3BAcc:HGNC:29419]
ENSLOCP00000004880	ubfd1	ubiquitin family domain containing 1 [Source:ZFIN%3BAcc:ZDB-GENE-050506-90]
ENSLOCP00000004896	unknown	unknown
ENSLOCP00000004919	unknown	unknown
ENSLOCP00000004938	rmi2	RecQ mediated genome instability 2 [Source:ZFIN%3BAcc:ZDB-GENE-131125-13]
ENSLOCP00000004958	litaf	lipopolysaccharide-induced TNF factor [Source:ZFIN%3BAcc:ZDB-GENE-040704-23]
ENSLOCP00000004979	grifin	galectin-related inter-fiber protein [Source:ZFIN%3BAcc:ZDB-GENE-040801-163]
ENSLOCP00000004991	grifin	galectin-related inter-fiber protein [Source:ZFIN%3BAcc:ZDB-GENE-040801-163]
ENSLOCP00000005004	grifin	galectin-related inter-fiber protein [Source:ZFIN%3BAcc:ZDB-GENE-040801-163]
ENSLOCP00000022202	si:dkey-26i13.7	si:dkey-26i13.7 [Source:ZFIN%3BAcc:ZDB-GENE-090312-214]
ENSLOCP00000005026	si:dkey-26i13.8	si:dkey-26i13.8 [Source:ZFIN%3BAcc:ZDB-GENE-090312-134]
ENSLOCP00000005044	eif3bb	eukaryotic translation initiation factor 3%2C subunit Bb [Source:ZFIN%3BAcc:ZDB-GENE-090312-175]
ENSLOCP00000005066	brat1	BRCA1-associated ATM activator 1 [Source:ZFIN%3BAcc:ZDB-GENE-060421-6989]
ENSLOCP00000005089	brat1	BRCA1-associated ATM activator 1 [Source:ZFIN%3BAcc:ZDB-GENE-060421-6989]
ENSLOCP00000005100	AMZ1	archaelysin family metallopeptidase 1 [Source:HGNC Symbol%3BAcc:HGNC:22231]
ENSLOCP00000005126	gna12a	guanine nucleotide binding protein (G protein) alpha 12a [Source:ZFIN%3BAcc:ZDB-GENE-050221-1]
ENSLOCP00000005149	card11	caspase recruitment domain family%2C member 11 [Source:ZFIN%3BAcc:ZDB-GENE-100219-1]
ENSLOCP00000005166	card11	caspase recruitment domain family%2C member 11 [Source:ZFIN%3BAcc:ZDB-GENE-100219-1]
ENSLOCP00000005196	sdk1a	sidekick cell adhesion molecule 1a [Source:ZFIN%3BAcc:ZDB-GENE-081104-374]
ENSLOCP00000005216	unknown	unknown
ENSLOCP00000005230	unknown	unknown
ENSLOCP00000005245	unknown	unknown
ENSLOCP00000005275	unknown	unknown
ENSLOCP00000005300	unknown	unknown
ENSLOCP00000005316	unknown	unknown
ENSLOCP00000005337	radil	Ras association and DIL domains [Source:ZFIN%3BAcc:ZDB-GENE-071206-1]
ENSLOCP00000005350	radil	Ras association and DIL domains [Source:ZFIN%3BAcc:ZDB-GENE-071206-1]
ENSLOCP00000005382	mmd2b	monocyte to macrophage differentiation-associated 2b [Source:ZFIN%3BAcc:ZDB-GENE-090313-336]
ENSLOCP00000005371	mmd2b	monocyte to macrophage differentiation-associated 2b [Source:ZFIN%3BAcc:ZDB-GENE-090313-336]
ENSLOCP00000005407	wipi2	WD repeat domain%2C phosphoinositide interacting 2 [Source:ZFIN%3BAcc:ZDB-GENE-040718-488]
ENSLOCP00000005423	arpc1b	actin related protein 2/3 complex%2C subunit 1B [Source:ZFIN%3BAcc:ZDB-GENE-030131-7414]
ENSLOCP00000005437	arpc1a	actin related protein 2/3 complex%2C subunit 1A [Source:ZFIN%3BAcc:ZDB-GENE-040116-1]
ENSLOCP00000005464	unknown	unknown
ENSLOCP00000005494	unknown	unknown
ENSLOCP00000005513	unknown	unknown
ENSLOCP00000005540	kpna7	karyopherin alpha 7 (importin alpha 8) [Source:ZFIN%3BAcc:ZDB-GENE-040426-2023]
ENSLOCP00000005553	smurf1	SMAD specific E3 ubiquitin protein ligase 1 [Source:ZFIN%3BAcc:ZDB-GENE-040426-2744]
ENSLOCP00000005567	smurf1	SMAD specific E3 ubiquitin protein ligase 1 [Source:ZFIN%3BAcc:ZDB-GENE-040426-2744]
ENSLOCP00000022203	unknown	unknown
ENSLOCP00000022204	si:dkey-33c3.1	si:dkey-33c3.1 [Source:ZFIN%3BAcc:ZDB-GENE-131121-337]
ENSLOCP00000005607	rnf216	ring finger protein 216 [Source:ZFIN%3BAcc:ZDB-GENE-081104-199]
ENSLOCP00000005591	rnf216	ring finger protein 216 [Source:ZFIN%3BAcc:ZDB-GENE-081104-199]
ENSLOCP00000005624	fscn1a	fascin actin-bundling protein 1a [Source:ZFIN%3BAcc:ZDB-GENE-031009-1]
ENSLOCP00000005646	actb1	actin%2C beta 1 [Source:ZFIN%3BAcc:ZDB-GENE-000329-1]
ENSLOCP00000005684	fbxl18	F-box and leucine-rich repeat protein 18 [Source:ZFIN%3BAcc:ZDB-GENE-050913-65]
ENSLOCP00000005661	fbxl18	F-box and leucine-rich repeat protein 18 [Source:ZFIN%3BAcc:ZDB-GENE-050913-65]
ENSLOCP00000005708	tnrc18	trinucleotide repeat containing 18 [Source:ZFIN%3BAcc:ZDB-GENE-100326-1]
ENSLOCP00000005729	tnrc18	trinucleotide repeat containing 18 [Source:ZFIN%3BAcc:ZDB-GENE-100326-1]
ENSLOCP00000005744	slc29a4	solute carrier family 29 (equilibrative nucleoside transporter)%2C member 4 [Source:ZFIN%3BAcc:ZDB-GENE-070112-1932]
ENSLOCP00000005759	atp5j2	ATP synthase%2C H+ transporting%2C mitochondrial Fo complex%2C subunit F2 [Source:ZFIN%3BAcc:ZDB-GENE-050309-87]
ENSLOCP00000005782	cpsf4	cleavage and polyadenylation specific factor 4 [Source:ZFIN%3BAcc:ZDB-GENE-990415-180]
ENSLOCP00000005803	ptcd1	pentatricopeptide repeat domain 1 [Source:ZFIN%3BAcc:ZDB-GENE-030131-6146]
ENSLOCP00000005816	ptcd1	pentatricopeptide repeat domain 1 [Source:ZFIN%3BAcc:ZDB-GENE-030131-6146]
ENSLOCP00000005832	bud31	BUD31 homolog (S. cerevisiae) [Source:ZFIN%3BAcc:ZDB-GENE-040720-3]
ENSLOCP00000005853	unknown	unknown
ENSLOCP00000005885	shmt1	serine hydroxymethyltransferase 1 (soluble) [Source:ZFIN%3BAcc:ZDB-GENE-040426-1558]
ENSLOCP00000005905	zgc:112980	zgc:112980 [Source:ZFIN%3BAcc:ZDB-GENE-050306-1]
ENSLOCP00000005924	smcr8a	Smith-Magenis syndrome chromosome region%2C candidate 8a [Source:ZFIN%3BAcc:ZDB-GENE-071212-4]
ENSLOCP00000005943	top3a	topoisomerase (DNA) III alpha [Source:ZFIN%3BAcc:ZDB-GENE-071212-2]
ENSLOCP00000005964	flii	flightless I actin binding protein [Source:ZFIN%3BAcc:ZDB-GENE-071212-3]
ENSLOCP00000005990	llgl1	lethal giant larvae homolog 1 (Drosophila) [Source:ZFIN%3BAcc:ZDB-GENE-060825-69]
ENSLOCP00000006012	llgl1	lethal giant larvae homolog 1 (Drosophila) [Source:ZFIN%3BAcc:ZDB-GENE-060825-69]
ENSLOCP00000006026	alkbh5	alkB homolog 5%2C RNA demethylase [Source:ZFIN%3BAcc:ZDB-GENE-061013-602]
ENSLOCP00000006064	myo15aa	myosin XVAa [Source:ZFIN%3BAcc:ZDB-GENE-080425-2]
ENSLOCP00000006077	si:dkey-121b10.7	si:dkey-121b10.7 [Source:ZFIN%3BAcc:ZDB-GENE-090312-176]
ENSLOCP00000006107	meiob	meiosis specific with OB domains [Source:ZFIN%3BAcc:ZDB-GENE-120104-8]
ENSLOCP00000006123	fahd1	fumarylacetoacetate hydrolase domain containing 1 [Source:ZFIN%3BAcc:ZDB-GENE-050522-448]
ENSLOCP00000006151	hagh	hydroxyacylglutathione hydrolase [Source:ZFIN%3BAcc:ZDB-GENE-030131-8921]
ENSLOCP00000006197	HAGHL	hydroxyacylglutathione hydrolase-like [Source:HGNC Symbol%3BAcc:HGNC:14177]
ENSLOCP00000006219	HAGHL	hydroxyacylglutathione hydrolase-like [Source:HGNC Symbol%3BAcc:HGNC:14177]
ENSLOCP00000006177	HAGHL	hydroxyacylglutathione hydrolase-like [Source:HGNC Symbol%3BAcc:HGNC:14177]
ENSLOCP00000006236	narfl	nuclear prelamin A recognition factor-like [Source:ZFIN%3BAcc:ZDB-GENE-070209-119]
ENSLOCP00000006255	zgc:113333	zgc:113333 [Source:ZFIN%3BAcc:ZDB-GENE-050320-57]
ENSLOCP00000006275	mlst8	MTOR associated protein%2C LST8 homolog (S. cerevisiae) [Source:ZFIN%3BAcc:ZDB-GENE-030131-6176]
ENSLOCP00000006292	bricd5	BRICHOS domain containing 5 [Source:ZFIN%3BAcc:ZDB-GENE-050208-85]
ENSLOCP00000006313	pgp	phosphoglycolate phosphatase [Source:ZFIN%3BAcc:ZDB-GENE-030131-6240]
ENSLOCP00000006337	e4f1	E4F transcription factor 1 [Source:ZFIN%3BAcc:ZDB-GENE-050913-103]
ENSLOCP00000006359	zdhhc4	zinc finger%2C DHHC-type containing 4 [Source:ZFIN%3BAcc:ZDB-GENE-030131-9031]
ENSLOCP00000006390	grid2ipa	glutamate receptor%2C ionotropic%2C delta 2 (Grid2) interacting protein%2C a [Source:ZFIN%3BAcc:ZDB-GENE-091113-42]
ENSLOCP00000006403	unknown	unknown
ENSLOCP00000006419	unknown	unknown
ENSLOCP00000006440	slc5a11	solute carrier family 5 (sodium/inositol cotransporter)%2C member 11 [Source:ZFIN%3BAcc:ZDB-GENE-041114-9]
ENSLOCP00000006475	arhgap17a	Rho GTPase activating protein 17a [Source:ZFIN%3BAcc:ZDB-GENE-050417-56]
ENSLOCP00000006488	lcmt1	leucine carboxyl methyltransferase 1 [Source:ZFIN%3BAcc:ZDB-GENE-040912-75]
ENSLOCP00000006506	aqp8a.1	aquaporin 8a%2C tandem duplicate 1 [Source:ZFIN%3BAcc:ZDB-GENE-040912-106]
ENSLOCP00000006522	aqp8a.2	aquaporin 8a%2C tandem duplicate 2 [Source:ZFIN%3BAcc:ZDB-GENE-070112-1802]
ENSLOCP00000006540	aqp8a.2	aquaporin 8a%2C tandem duplicate 2 [Source:ZFIN%3BAcc:ZDB-GENE-070112-1802]
ENSLOCP00000006586	prkcba	protein kinase C%2C beta a [Source:ZFIN%3BAcc:ZDB-GENE-040426-1354]
ENSLOCP00000006568	prkcba	protein kinase C%2C beta a [Source:ZFIN%3BAcc:ZDB-GENE-040426-1354]
ENSLOCP00000006604	cacng3b	calcium channel%2C voltage-dependent%2C gamma subunit 3b [Source:ZFIN%3BAcc:ZDB-GENE-090828-1]
ENSLOCP00000006619	rbbp6	retinoblastoma binding protein 6 [Source:ZFIN%3BAcc:ZDB-GENE-040930-5]
ENSLOCP00000006639	rbbp6	retinoblastoma binding protein 6 [Source:ZFIN%3BAcc:ZDB-GENE-040930-5]
ENSLOCP00000006665	tnrc6a	trinucleotide repeat containing 6a [Source:ZFIN%3BAcc:ZDB-GENE-030131-2519]
ENSLOCP00000006682	tnrc6a	trinucleotide repeat containing 6a [Source:ZFIN%3BAcc:ZDB-GENE-030131-2519]
ENSLOCP00000006703	unknown	unknown
ENSLOCP00000006714	unknown	unknown
ENSLOCP00000006734	ndufab1a	NADH dehydrogenase (ubiquinone) 1%2C alpha/beta subcomplex%2C 1a [Source:ZFIN%3BAcc:ZDB-GENE-040801-1]
ENSLOCP00000006750	unknown	unknown
ENSLOCP00000006773	unknown	unknown
ENSLOCP00000006796	dctn5	dynactin 5 [Source:ZFIN%3BAcc:ZDB-GENE-040718-201]
ENSLOCP00000022205	zgc:152698	zgc:152698 [Source:ZFIN%3BAcc:ZDB-GENE-060818-9]
ENSLOCP00000006824	plk1	polo-like kinase 1 (Drosophila) [Source:ZFIN%3BAcc:ZDB-GENE-021115-7]
ENSLOCP00000006840	unknown	unknown
ENSLOCP00000006860	rpusd1	RNA pseudouridylate synthase domain containing 1 [Source:ZFIN%3BAcc:ZDB-GENE-060929-444]
ENSLOCP00000006880	chtf18	CTF18%2C chromosome transmission fidelity factor 18 homolog (S. cerevisiae) [Source:ZFIN%3BAcc:ZDB-GENE-050522-508]
ENSLOCP00000006903	traf7	TNF receptor-associated factor 7 [Source:ZFIN%3BAcc:ZDB-GENE-070112-2212]
ENSLOCP00000006928	caskin1	CASK interacting protein 1 [Source:ZFIN%3BAcc:ZDB-GENE-071115-3]
ENSLOCP00000006941	caskin1	CASK interacting protein 1 [Source:ZFIN%3BAcc:ZDB-GENE-071115-3]
ENSLOCP00000006968	unknown	unknown
ENSLOCP00000006991	prpsap2	phosphoribosyl pyrophosphate synthetase-associated protein 2 [Source:ZFIN%3BAcc:ZDB-GENE-040426-2077]
ENSLOCP00000007016	si:dkeyp-9d4.5	si:dkeyp-9d4.5 [Source:ZFIN%3BAcc:ZDB-GENE-121214-88]
ENSLOCP00000007033	unknown	unknown
ENSLOCP00000007057	grapb	GRB2-related adaptor protein b [Source:ZFIN%3BAcc:ZDB-GENE-050913-4]
ENSLOCP00000007076	unknown	unknown
ENSLOCP00000007107	epn2	epsin 2 [Source:ZFIN%3BAcc:ZDB-GENE-071212-1]
ENSLOCP00000007117	epn2	epsin 2 [Source:ZFIN%3BAcc:ZDB-GENE-071212-1]
ENSLOCP00000007146	epn2	epsin 2 [Source:ZFIN%3BAcc:ZDB-GENE-071212-1]
ENSLOCP00000007168	b9d1	B9 protein domain 1 [Source:ZFIN%3BAcc:ZDB-GENE-050522-467]
ENSLOCP00000007215	cacna1hb	calcium channel%2C voltage-dependent%2C T type%2C alpha 1H subunit b [Source:ZFIN%3BAcc:ZDB-GENE-090312-128]
ENSLOCP00000007202	cacna1hb	calcium channel%2C voltage-dependent%2C T type%2C alpha 1H subunit b [Source:ZFIN%3BAcc:ZDB-GENE-090312-128]
ENSLOCP00000007245	ccdc97	coiled-coil domain containing 97 [Source:ZFIN%3BAcc:ZDB-GENE-131127-366]
ENSLOCP00000007269	znf598	zinc finger protein 598 [Source:ZFIN%3BAcc:ZDB-GENE-060602-3]
ENSLOCP00000007291	syngr3b	synaptogyrin 3b [Source:ZFIN%3BAcc:ZDB-GENE-070822-6]
ENSLOCP00000007308	syngr3b	synaptogyrin 3b [Source:ZFIN%3BAcc:ZDB-GENE-070822-6]
ENSLOCP00000007325	gfer	growth factor%2C augmenter of liver regeneration (ERV1 homolog%2C S. cerevisiae) [Source:ZFIN%3BAcc:ZDB-GENE-060810-186]
ENSLOCP00000007347	drg2	developmentally regulated GTP binding protein 2 [Source:ZFIN%3BAcc:ZDB-GENE-040808-29]
ENSLOCP00000007365	lfng	LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase [Source:ZFIN%3BAcc:ZDB-GENE-980605-16]
ENSLOCP00000022206	socs1a	suppressor of cytokine signaling 1a [Source:ZFIN%3BAcc:ZDB-GENE-040801-205]
ENSLOCP00000007393	clec16a	C-type lectin domain family 16%2C member A [Source:ZFIN%3BAcc:ZDB-GENE-040426-951]
ENSLOCP00000022207	dexi	Dexi homolog (mouse) [Source:ZFIN%3BAcc:ZDB-GENE-040808-20]
ENSLOCP00000007408	ciita	class II%2C major histocompatibility complex%2C transactivator [Source:ZFIN%3BAcc:ZDB-GENE-071116-6]
ENSLOCP00000007424	nubp1	nucleotide binding protein 1 (MinD homolog%2C E. coli) [Source:ZFIN%3BAcc:ZDB-GENE-050417-471]
ENSLOCP00000007440	TVP23A	trans-golgi network vesicle protein 23 homolog A [Source:HGNC Symbol%3BAcc:HGNC:20398]
ENSLOCP00000007458	TEKT5	tektin 5 [Source:HGNC Symbol%3BAcc:HGNC:26554]
ENSLOCP00000007479	emp2	epithelial membrane protein 2 [Source:ZFIN%3BAcc:ZDB-GENE-040822-24]
ENSLOCP00000007500	grin2ab	glutamate receptor%2C ionotropic%2C N-methyl D-aspartate 2A%2C b [Source:ZFIN%3BAcc:ZDB-GENE-070424-223]
ENSLOCP00000007519	zgc:66160	zgc:66160 [Source:ZFIN%3BAcc:ZDB-GENE-030131-5510]
ENSLOCP00000007541	usp7	ubiquitin specific peptidase 7 (herpes virus-associated) [Source:ZFIN%3BAcc:ZDB-GENE-030131-3656]
ENSLOCP00000007555	si:ch211-157c3.4	si:ch211-157c3.4 [Source:ZFIN%3BAcc:ZDB-GENE-030131-8454]
ENSLOCP00000007579	zgc:136472	zgc:136472 [Source:ZFIN%3BAcc:ZDB-GENE-060421-2552]
ENSLOCP00000007601	pdia2	protein disulfide isomerase family A%2C member 2 [Source:ZFIN%3BAcc:ZDB-GENE-040426-705]
ENSLOCP00000007646	arhgdig	Rho GDP dissociation inhibitor (GDI) gamma [Source:ZFIN%3BAcc:ZDB-GENE-040426-1493]
ENSLOCP00000007622	arhgdig	Rho GDP dissociation inhibitor (GDI) gamma [Source:ZFIN%3BAcc:ZDB-GENE-040426-1493]
ENSLOCP00000007672	rgs11	regulator of G-protein signaling 11 [Source:ZFIN%3BAcc:ZDB-GENE-080220-46]
ENSLOCP00000007692	zgc:112320	zgc:112320 [Source:ZFIN%3BAcc:ZDB-GENE-050522-144]
ENSLOCP00000007713	tmem8a	transmembrane protein 8A [Source:ZFIN%3BAcc:ZDB-GENE-090312-158]
ENSLOCP00000007731	unknown	unknown
ENSLOCP00000007764	clcn7	chloride channel 7 [Source:ZFIN%3BAcc:ZDB-GENE-061103-196]
ENSLOCP00000007798	ptx4	pentraxin 4%2C long [Source:ZFIN%3BAcc:ZDB-GENE-120215-70]
ENSLOCP00000007783	ptx4	pentraxin 4%2C long [Source:ZFIN%3BAcc:ZDB-GENE-120215-70]
ENSLOCP00000007820	eci1	enoyl-CoA delta isomerase 1 [Source:ZFIN%3BAcc:ZDB-GENE-030131-6033]
ENSLOCP00000007848	dnase1	deoxyribonuclease I [Source:ZFIN%3BAcc:ZDB-GENE-040718-423]
ENSLOCP00000007863	zgc:56409	zgc:56409 [Source:ZFIN%3BAcc:ZDB-GENE-040426-1019]
ENSLOCP00000007883	nat15	N-acetyltransferase 15 (GCN5-related%2C putative) [Source:ZFIN%3BAcc:ZDB-GENE-041111-143]
ENSLOCP00000007907	carhsp1	calcium regulated heat stable protein 1 [Source:ZFIN%3BAcc:ZDB-GENE-040426-1479]
ENSLOCP00000007931	pmm2	phosphomannomutase 2 [Source:ZFIN%3BAcc:ZDB-GENE-030722-6]
ENSLOCP00000007946	tmem186	transmembrane protein 186 [Source:ZFIN%3BAcc:ZDB-GENE-081022-122]
ENSLOCP00000007981	abat	4-aminobutyrate aminotransferase [Source:ZFIN%3BAcc:ZDB-GENE-031006-4]
ENSLOCP00000008001	mettl22	methyltransferase like 22 [Source:ZFIN%3BAcc:ZDB-GENE-081022-70]
ENSLOCP00000008016	mettl22	methyltransferase like 22 [Source:ZFIN%3BAcc:ZDB-GENE-081022-70]
ENSLOCP00000008036	unknown	unknown
ENSLOCP00000008065	rbfox1	RNA binding protein%2C fox-1 homolog (C. elegans) 1 [Source:ZFIN%3BAcc:ZDB-GENE-040927-11]
ENSLOCP00000008081	zgc:153896	zgc:153896 [Source:ZFIN%3BAcc:ZDB-GENE-060825-119]
ENSLOCP00000008101	zgc:101640 (1 of many)	zgc:101640 [Source:ZFIN%3BAcc:ZDB-GENE-041114-158]
ENSLOCP00000008127	sept12	septin 12 [Source:ZFIN%3BAcc:ZDB-GENE-120215-68]
ENSLOCP00000008145	sept12	septin 12 [Source:ZFIN%3BAcc:ZDB-GENE-120215-68]
ENSLOCP00000008167	fbxl16	F-box and leucine-rich repeat protein 16 [Source:ZFIN%3BAcc:ZDB-GENE-120215-180]
ENSLOCP00000008186	gsg1l	gsg1-like [Source:ZFIN%3BAcc:ZDB-GENE-050913-27]
ENSLOCP00000008204	si:ch211-76l23.4	si:ch211-76l23.4 [Source:ZFIN%3BAcc:ZDB-GENE-030131-8310]
ENSLOCP00000008219	flr	fleer [Source:ZFIN%3BAcc:ZDB-GENE-070117-2066]
ENSLOCP00000008233	flr	fleer [Source:ZFIN%3BAcc:ZDB-GENE-070117-2066]
ENSLOCP00000008245	si:ch211-76l23.7	si:ch211-76l23.7 [Source:ZFIN%3BAcc:ZDB-GENE-120215-154]
ENSLOCP00000008271	alg1	ALG1%2C chitobiosyldiphosphodolichol beta-mannosyltransferase [Source:ZFIN%3BAcc:ZDB-GENE-030131-6093]
ENSLOCP00000008286	eef2kmt	eukaryotic elongation factor 2 lysine methyltransferase [Source:ZFIN%3BAcc:ZDB-GENE-041010-160]
ENSLOCP00000008303	pigq	phosphatidylinositol glycan anchor biosynthesis%2C class Q [Source:ZFIN%3BAcc:ZDB-GENE-030131-9793]
ENSLOCP00000008329	rab40c	RAB40c%2C member RAS oncogene family [Source:ZFIN%3BAcc:ZDB-GENE-030515-1]
ENSLOCP00000008342	wfikkn1	WAP%2C follistatin/kazal%2C immunoglobulin%2C kunitz and netrin domain containing 1 [Source:ZFIN%3BAcc:ZDB-GENE-040426-2465]
ENSLOCP00000008357	zgc:56719	zgc:56719 [Source:ZFIN%3BAcc:ZDB-GENE-031118-200]
ENSLOCP00000008380	unknown	unknown
ENSLOCP00000008403	TMC7	transmembrane channel like 7 [Source:HGNC Symbol%3BAcc:HGNC:23000]
ENSLOCP00000008436	nomo	nodal modulator [Source:ZFIN%3BAcc:ZDB-GENE-040826-3]
ENSLOCP00000008450	nomo	nodal modulator [Source:ZFIN%3BAcc:ZDB-GENE-040826-3]
ENSLOCP00000008483	xylt1	xylosyltransferase I [Source:ZFIN%3BAcc:ZDB-GENE-111017-2]
ENSLOCP00000008495	rps15a	ribosomal protein S15a [Source:ZFIN%3BAcc:ZDB-GENE-030131-8708]
ENSLOCP00000008511	unknown	unknown
ENSLOCP00000008531	arl6ip1	ADP-ribosylation factor-like 6 interacting protein 1 [Source:ZFIN%3BAcc:ZDB-GENE-040426-1087]
ENSLOCP00000008565	smg1	SMG1 phosphatidylinositol 3-kinase-related kinase [Source:ZFIN%3BAcc:ZDB-GENE-061013-767]
ENSLOCP00000008583	clec19a	C-type lectin domain family 19%2C member A [Source:ZFIN%3BAcc:ZDB-GENE-080917-46]
ENSLOCP00000008597	SYT17	synaptotagmin 17 [Source:HGNC Symbol%3BAcc:HGNC:24119]
ENSLOCP00000022208	ITPRIPL2	inositol 1%2C4%2C5-trisphosphate receptor interacting protein like 2 [Source:HGNC Symbol%3BAcc:HGNC:27257]
ENSLOCP00000008612	notum2	notum pectinacetylesterase 2 [Source:ZFIN%3BAcc:ZDB-GENE-120215-77]
ENSLOCP00000008633	coq7	coenzyme Q7 homolog%2C ubiquinone (yeast) [Source:ZFIN%3BAcc:ZDB-GENE-070209-262]
ENSLOCP00000008692	abcc6a	ATP-binding cassette%2C sub-family C (CFTR/MRP)%2C member 6a [Source:ZFIN%3BAcc:ZDB-GENE-050517-18]
ENSLOCP00000008735	abcc1	ATP-binding cassette%2C sub-family C (CFTR/MRP)%2C member 1 [Source:ZFIN%3BAcc:ZDB-GENE-050517-15]
ENSLOCP00000008749	abcc1	ATP-binding cassette%2C sub-family C (CFTR/MRP)%2C member 1 [Source:ZFIN%3BAcc:ZDB-GENE-050517-15]
ENSLOCP00000008770	fopnl	fgfr1op N-terminal like [Source:ZFIN%3BAcc:ZDB-GENE-101124-1]
ENSLOCP00000008785	unknown	unknown
ENSLOCP00000008806	nde1 (1 of many)	nudE neurodevelopment protein 1 [Source:ZFIN%3BAcc:ZDB-GENE-050913-61]
ENSLOCP00000008831	KIAA0430	KIAA0430 [Source:HGNC Symbol%3BAcc:HGNC:29562]
ENSLOCP00000008848	KIAA0430	KIAA0430 [Source:HGNC Symbol%3BAcc:HGNC:29562]
ENSLOCP00000008877	C16orf45	chromosome 16 open reading frame 45 [Source:HGNC Symbol%3BAcc:HGNC:19213]
ENSLOCP00000008891	si:dkeyp-72e1.7	si:dkeyp-72e1.7 [Source:ZFIN%3BAcc:ZDB-GENE-120215-229]
ENSLOCP00000008919	pdxdc1	pyridoxal-dependent decarboxylase domain containing 1 [Source:ZFIN%3BAcc:ZDB-GENE-040912-16]
ENSLOCP00000008932	pdxdc1	pyridoxal-dependent decarboxylase domain containing 1 [Source:ZFIN%3BAcc:ZDB-GENE-040912-16]
ENSLOCP00000008948	NTAN1	N-terminal asparagine amidase [Source:HGNC Symbol%3BAcc:HGNC:29909]
ENSLOCP00000008984	rrn3	RRN3 homolog%2C RNA polymerase I transcription factor [Source:ZFIN%3BAcc:ZDB-GENE-080225-1]
ENSLOCP00000008973	rrn3	RRN3 homolog%2C RNA polymerase I transcription factor [Source:ZFIN%3BAcc:ZDB-GENE-080225-1]
ENSLOCP00000022209	si:dkey-16i5.8	si:dkey-16i5.8 [Source:ZFIN%3BAcc:ZDB-GENE-030131-1207]
ENSLOCP00000009000	rsl1d1	ribosomal L1 domain containing 1 [Source:ZFIN%3BAcc:ZDB-GENE-130603-67]
ENSLOCP00000009032	gspt1	G1 to S phase transition 1 [Source:ZFIN%3BAcc:ZDB-GENE-040822-36]
ENSLOCP00000009020	gspt1	G1 to S phase transition 1 [Source:ZFIN%3BAcc:ZDB-GENE-040822-36]
ENSLOCP00000009047	unknown	unknown
ENSLOCP00000009067	snx29	sorting nexin 29 [Source:ZFIN%3BAcc:ZDB-GENE-121105-13]
ENSLOCP00000009083	cpped1	calcineurin-like phosphoesterase domain containing 1 [Source:ZFIN%3BAcc:ZDB-GENE-041114-118]
ENSLOCP00000009100	shisa9b	shisa family member 9b [Source:ZFIN%3BAcc:ZDB-GENE-081022-105]
ENSLOCP00000009117	ercc4	excision repair cross-complementation group 4 [Source:ZFIN%3BAcc:ZDB-GENE-030131-5533]
ENSLOCP00000009137	mkl2b	MKL/myocardin-like 2b [Source:ZFIN%3BAcc:ZDB-GENE-030619-16]
ENSLOCP00000009167	unknown	unknown
ENSLOCP00000009152	unknown	unknown
